BZ;SPOE   ;FPOE   ;OEVP   ;GRUE   ;NEOS   ;WWW    ;ANDAS  ;GFW    ;SLP    ;WIFF   ;M      ;FREIE  
Wien;329773;256451;76959;98626;51305;1709;8937;7608;62;1346;152;59
Innere Stadt;2862;1865;1708;1052;962;14;57;18;0;0;0;5
Wieden;5803;2909;1851;2948;1527;22;179;27;0;0;0;11
Margareten;9506;4984;1704;4136;1427;48;376;186;0;0;0;26
Mariahilf;5989;2785;1562;3508;1249;17;207;32;0;0;0;17
Neubau;5922;2523;1457;4237;1404;30;238;30;0;0;0;0
Josefstadt;4537;2141;1845;2665;1214;18;187;14;0;0;0;0
Alsergrund;7679;3714;2300;4016;1903;29;268;58;0;0;0;0
Leopoldstadt;18156;10260;2957;7437;2506;110;684;385;0;0;0;0
Landstraße;16710;9721;4198;6484;3208;76;544;332;0;0;0;0
Favoriten;31400;29849;4668;4779;2694;157;684;1626;0;0;0;0
Simmering;17103;18222;2150;2217;1576;89;367;755;0;0;0;0
Meidling;15808;12239;3025;4088;1943;100;427;465;0;0;0;0
Hietzing;9693;7519;6039;3298;2903;52;266;46;0;0;0;0
Penzing;17000;13480;4906;5609;2932;142;465;186;0;0;0;0
Rudolfsheim-Fünfhaus;11572;7189;1718;4671;1273;52;406;317;0;0;0;0
Ottakring;16890;11678;3390;5960;2212;90;558;565;0;0;0;0
Hernals;9116;6267;2656;3789;1808;38;309;173;0;0;0;0
Währing;8347;4796;4112;4481;2474;56;246;69;0;0;0;0
Döbling;12969;9154;6546;3689;3477;76;297;160;0;0;0;0
Brigittenau;13989;10171;1866;3692;1493;54;344;804;62;0;0;0
Floridsdorf;30017;31083;5008;4840;3124;135;614;477;0;1346;0;0
Donaustadt;37577;35566;6145;6640;4534;163;776;539;0;0;152;0
Liesing;21128;18336;5148;4390;3462;141;438;344;0;0;0;0
